"Name","Memory_Bus","Core_Speed","Pixel_Rate","Memory","Process","Memory_Speed","Release_Date","Manufacturer","Memory_Bandwidth","Max_Power"
"GeForce 8400 GS Rev. 4 EVGA 1GB Edition",64,520,2,1024,40,600,"2007-04-17","Nvidia",9.6,40
"GeForce 8400 GS Rev. 4",64,520,2,512,40,500,"2007-04-17","Nvidia",8,40
"Radeon HD 4670 AGP",128,750,6,1024,55,800,"2007-07-17","AMD",25.6,59
"Radeon HD 3800 series",256,540,4,512,55,700,"2007-11-01","AMD",16,40
"FireStream 9170",256,540,13,2048,55,800,"2007-11-08","AMD",51.2,105
"Radeon HD 3870",256,777,12,512,55,1126,"2007-11-19","AMD",72.1,106
"Radeon HD 3850",256,540,11,256,55,830,"2007-11-19","AMD",53.1,75
"Radeon HD 3450",64,540,2,256,55,500,"2007-12-10","AMD",8,25
"FireGL V7700",256,625,9,512,55,1125,"2008-01-01","AMD",72,62.5
"Radeon HD 3600 Series",128,625,9,512,55,800,"2008-01-01","AMD",38.4,62.5
"Radeon HD 3400 Series",64,625,2,256,55,800,"2008-01-01","AMD",38.4,65
"GeForce 9800M GS",256,625,9,512,55,800,"2008-01-02","Nvidia",51.2,60
"GeForce 9600M GT",128,625,9,1024,55,800,"2008-01-02","Nvidia",25.6,23
"GeForce 9300M GS",64,625,9,256,55,700,"2008-01-02","Nvidia",11.2,13
"GeForce 9200M GE",128,625,9,64,55,800,"2008-01-02","Nvidia",38.4,62.5
"GeForce 9500M",128,625,9,512,55,800,"2008-01-02","Nvidia",38.4,62.5
"Radeon HD 3850 AGP",256,625,11,512,55,830,"2008-01-03","AMD",53.1,75
"Mobility FireGL V5700",128,625,9,1024,55,700,"2008-01-07","AMD",22.4,62.5
"Mobility Radeon HD 3670",128,625,9,512,55,800,"2008-01-07","AMD",25.6,30
"Mobility Radeon HD 3650",128,625,9,512,55,700,"2008-01-07","AMD",22.4,30
"Mobility Radeon HD 3470",64,625,9,256,55,800,"2008-01-07","AMD",12.8,12
"Mobility Radeon HD 3450",64,625,9,256,55,700,"2008-01-07","AMD",11.2,12
"Radeon HD 3650",128,625,3,256,55,800,"2008-01-23","AMD",25.6,65
"Radeon HD 3470",64,625,3,256,55,950,"2008-01-23","AMD",15.2,30
"Radeon HD 3870 X2",256,825,13,1024,55,900,"2008-01-28","AMD",57.6,165
"Radeon HD 3690",128,625,11,256,55,830,"2008-01-30","AMD",26.6,75
"Radeon HD 3200 IGP",32,625,2,512,55,800,"2008-03-01","AMD",38.4,62.5
"Radeon HD 3200",32,625,2,512,55,400,"2008-03-01","AMD",3.2,62.5
"Radeon HD 3830",128,625,11,256,55,830,"2008-04-01","AMD",26.6,75
"Radeon HD 4870",256,625,12,512,55,900,"2008-06-01","AMD",115.2,150
"Radeon HD 4850 HIS iCooler IV 1GB Edition",256,625,10,1024,55,993,"2008-06-01","AMD",63.6,110
"Radeon HD 4850",256,625,10,512,55,993,"2008-06-01","AMD",63.6,110
"GeForce 8200M G",128,625,9,512,55,800,"2008-06-01","Nvidia",38.4,62.5
"Intel G45 Express Chipset",128,625,9,512,55,800,"2008-06-01","Intel",38.4,24
"GeForce 9600M GS",128,625,9,1024,55,800,"2008-06-03","Nvidia",25.6,20
"GeForce 9500M G",128,625,9,1024,55,800,"2008-06-03","Nvidia",25.6,20
"GeForce 9100M",128,625,9,512,55,800,"2008-06-03","Nvidia",38.4,12
"GeForce 9200M GS",64,625,9,256,55,700,"2008-06-03","Nvidia",11.2,13
"Mobility Radeon HD 3870",256,625,9,512,55,850,"2008-06-04","AMD",54.4,55
"Mobility Radeon HD 3850",256,625,9,512,55,750,"2008-06-04","AMD",48,45
"Mobility Radeon HD 3200",64,625,9,256,55,800,"2008-06-04","AMD",38.4,62.5
"FireStream 9250",256,625,10,1024,55,993,"2008-06-16","AMD",63.6,150
"Radeon HD 4870 PowerColor PCS+ 512MB Edition",256,780,12,512,55,950,"2008-06-25","AMD",121.6,150
"GeForce 9800M GTS",256,625,9,1024,55,800,"2008-07-01","Nvidia",51.2,75
"GeForce 9800M GTS SLI",256,625,9,2048,55,800,"2008-07-01","Nvidia",102.4,150
"GeForce 9700M GT",128,625,9,512,55,800,"2008-07-01","Nvidia",25.6,45
"GeForce 9700M GTS",256,625,9,512,55,800,"2008-07-01","Nvidia",51.2,60
"GeForce 9500 GS",128,625,9,512,55,500,"2008-07-01","Nvidia",16,62.5
"Mobility Radeon HD 3430",64,625,9,256,55,700,"2008-07-25","AMD",11.2,10
"Mobility Radeon HD 3410",64,625,9,256,55,700,"2008-07-25","AMD",11.2,8
"GeForce 9500 GT",128,625,4,512,55,800,"2008-07-29","Nvidia",25.6,50
"Radeon HD 4850 Golden Sample Edition",256,700,11,512,55,1100,"2008-08-01","AMD",70.4,62.5
"Radeon HD 3100",64,625,9,512,55,800,"2008-08-01","AMD",38.4,62.5
"Intel Q45 Express Chipset",128,625,9,512,55,800,"2008-08-01","Intel",38.4,62.5
"Intel Q43 Express Chipset",128,625,9,512,55,800,"2008-08-01","Intel",38.4,62.5
"Intel G43 Express Chipset",128,625,9,512,55,800,"2008-08-01","Intel",38.4,24
"GeForce 9480",128,625,9,512,55,800,"2008-08-01","Nvidia",38.4,62.5
"Radeon HD 3300",32,625,3,512,55,800,"2008-08-06","AMD",38.4,62.5
"FirePro V5700",128,625,6,512,55,900,"2008-08-08","AMD",28.8,56
"Quadro FX 770M",128,625,9,512,55,800,"2008-08-14","Nvidia",25.6,35
"Quadro FX 2700M",256,625,9,512,55,800,"2008-08-14","Nvidia",51.2,65
"Quadro NVS 160M",64,625,9,256,55,700,"2008-08-15","Nvidia",11.2,12
"Quadro NVS 150M",64,625,9,256,55,700,"2008-08-15","Nvidia",11.2,10
"GeForce 9650M GT",128,625,9,1024,55,800,"2008-08-19","Nvidia",25.6,23
"Radeon HD 4670 HIS IceQ 1GB Edition",128,750,6,1024,55,873,"2008-09-01","AMD",27.9,59
"Radeon HD 4650",128,625,5,512,55,400,"2008-09-01","AMD",12.8,48
"Radeon HD 4650 Asus Low Profile Edition",128,625,5,1024,55,400,"2008-09-01","AMD",12.8,48
"Radeon HD 4550",64,600,2,256,55,800,"2008-09-01","AMD",12.8,25
"Intel GS45 Express Chipset ",128,625,9,512,55,533,"2008-09-01","Intel",17.1,12
"Intel GM45 Express Chipset",128,625,9,512,55,533,"2008-09-01","Intel",17.1,12
"Mobility Radeon HD 3870 x2",256,625,9,1024,55,1700,"2008-09-01","AMD",108.8,110
"Intel G41 Express Chipset",128,625,9,512,55,800,"2008-09-01","Intel",38.4,25
"Radeon HD 4650 v2",128,600,5,1024,55,750,"2008-09-10","AMD",24,48
"Radeon HD 4650 1GB",128,600,5,1024,55,700,"2008-09-10","AMD",22.4,48
"Radeon HD 4670 1GB",128,750,6,1024,55,800,"2008-09-10","AMD",25.6,59
"Radeon HD 4670 512MB",128,750,6,512,55,800,"2008-09-10","AMD",25.6,59
"FirePro V8700",256,625,9,1024,55,850,"2008-09-11","AMD",108.8,151
"FirePro V3750",128,625,4,256,55,700,"2008-09-11","AMD",22.4,48
"GeForce GTX 260 v3 Zotac AMP²! 896MB Edition",448,650,18,896,55,1050,"2008-09-16","Nvidia",117.6,171
"Radeon HD 4350 Asus Silent 512MB Edition",64,600,2,512,55,400,"2008-09-30","AMD",6.4,20
"Radeon HD 4350 1GB",64,600,2,1024,55,500,"2008-09-30","AMD",8,20
